"","Name","FIDE.ID","Born","Birthplace","Died","Title.Year","Federation","Sex","Notes"
"30","Akshayraj Kore",5012414,"1988-09-01","Ahmednagar","",2013,"India","M","Di Felice; title application"
"31","Al-Sayed, Mohamad",12100196,"1981-11-02","","",2009,"Qatar","M","Di Felice; title application"
"32","Al-Mudahka, Mohd",12100030,"1974-06-01","","",1998,"Qatar","M","Di Felice"
"33","Alatortsev, Vladimir",NA,"1909-05-14","Turki","1987-01-13",1983,"Soviet Union","M","Di Felice; honorary"
"34","Alavkin, Arseny",4120612,"1969-01-17","Kazan","",2010,"Russia","M","Di Felice; title application"
"35","Albornoz Cabrera, Carlos Daniel",3518736,"2000-12-26","Camagüey","",2019,"Cuba","M","Di Felice; title application"
"36","Alburt, Lev",2000156,"1945-08-21","Orenburg","",1977,"Soviet Union","M","Di Felice; currently United States"
"37","Aleksandrov, Aleksej",13500139,"1973-05-11","","",1997,"Belarus","M","Di Felice"
"38","Alekseenko, Kirill",4135539,"1997-06-22","Saint Petersburg","",2015,"Russia","M","Di Felice; title application"
"39","Alekseev, Evgeny",4138147,"1985-11-28","Pushkin, Saint Petersburg","",2002,"Russia","M","Di Felice"
"40","Ali Marandi, Cemil Can",6300529,"1998-01-17","İzmir","",2017,"Turkey","M","title application"
"41","Almási, Zoltán",702293,"1976-08-29","Járdánháza","",1993,"Hungary","M","Di Felice"
"42","Almeida Quintana, Omar",3503313,"1981-10-28","Havana","",2006,"Cuba","M","Di Felice"
"43","Alonso Rosell, Alvar",2270544,"1992-09-13","Figueres","",2013,"Spain","M","Di Felice; title application"
"44","Alonso, Salvador",105198,"1974-09-07","Buenos Aires","",2009,"Argentina","M","Di Felice; title application"
"45","Alsina Leal, Daniel",2252627,"1988-05-10","Barcelona","",2010,"Spain","M","Di Felice; title application"
"46","Alterman, Boris",2801906,"1970-05-04","Kharkiv","",1992,"Ukraine","M","Di Felice; currently Israel"
"47","Alvarez Pedraza, Aramis",3507408,"1988-07-27","Santa Clara, Cuba","",2010,"Cuba","M","Di Felice; title application"
"48","Amanov, Mesgen",14000652,"1986-09-06","Daşoguz","",2009,"Turkmenistan","M","Di Felice; title application"
"49","Amin, Bassem",10601457,"1988-09-09","Tanta","",2006,"Egypt","M","Di Felice"
"50","Amonatov, Farrukh",14700077,"1978-04-13","","",2002,"Tajikistan","M","Di Felice"
"51","Anagno­stopoulos, Dimitris",4204077,"1970-06-11","","",1996,"Greece","M","Di Felice"
"52","Anand, Viswanathan",5000017,"1969-12-11","Chennai","",1988,"India","M","Di Felice"
"53","Anastasian, Ashot",13300059,"1964-07-16","Yerevan","2016-12-26",1993,"Armenia","M","Di Felice"
"54","Andersen, Mads",1413864,"1995-03-01","Nuuk","",2016,"Denmark","M","Di Felice; title application"
"55","Andersson, Ulf",1700014,"1951-06-27","Västerås","",1972,"Sweden","M","Di Felice"
"56","Andreev, Eduard",14103400,"1980-03-12","Slaviansk","",2005,"Ukraine","M","Di Felice; title application"
"57","Andreikin, Dmitry",4158814,"1990-02-05","Ryazan","",2007,"Russia","M","Di Felice; title application"
"58","Andriasian, Zaven",13302000,"1989-03-11","Yerevan","",2006,"Armenia","M","Di Felice; IM title application"
